iter	Passed	Remaining
0	5	5070
1	10	5322
2	14	4687
3	18	4542
4	22	4462
5	25	4292
6	29	4159
7	34	4338
8	38	4192
9	41	4117
10	44	3959
11	47	3918
12	51	3909
13	54	3859
14	58	3822
15	60	3750
16	64	3728
17	67	3661
18	70	3644
19	73	3625
20	79	3703
21	82	3684
22	86	3676
23	88	3610
24	91	3576
25	94	3521
26	97	3497
27	100	3497
28	104	3484
29	107	3482
30	110	3463
31	114	3460
32	117	3446
33	122	3475
34	125	3460
35	128	3452
36	132	3445
37	136	3467
38	140	3456
39	143	3450
40	146	3420
41	150	3425
42	153	3418
43	156	3409
44	160	3401
45	164	3406
46	168	3409
47	170	3377
48	173	3371
49	177	3366
50	180	3361
51	183	3350
52	187	3344
53	190	3334
54	193	3330
55	197	3324
56	201	3335
57	205	3330
58	207	3315
59	210	3290
60	213	3286
61	217	3285
62	220	3278
63	225	3303
64	229	3300
65	232	3293
66	235	3286
67	240	3290
68	243	3281
69	245	3261
70	248	3253
71	253	3261
72	256	3255
73	259	3250
74	263	3243
75	266	3238
76	270	3246
77	274	3241
78	277	3234
79	280	3226
80	283	3216
81	286	3204
82	290	3205
83	293	3198
84	296	3192
85	299	3187
86	303	3181
87	305	3168
88	309	3163
89	312	3158
90	315	3154
91	318	3144
92	320	3129
93	324	3123
94	327	3120
95	331	3119
96	334	3115
97	338	3111
98	340	3098
99	344	3097
100	347	3093
101	350	3087
102	353	3081
103	357	3082
104	360	3072
105	363	3066
106	366	3061
107	370	3056
108	372	3045
109	374	3033
110	378	3027
111	380	3017
112	383	3012
113	387	3012
114	390	3005
115	392	2991
116	395	2985
117	397	2974
118	400	2963
119	403	2959
120	406	2953
121	410	2955
122	413	2947
123	416	2945
124	420	2941
125	423	2936
126	425	2927
127	429	2922
128	431	2912
129	433	2901
130	436	2896
131	439	2893
132	443	2888
133	447	2889
134	449	2879
135	452	2874
136	455	2870
137	458	2866
138	462	2867
139	466	2863
140	469	2859
141	472	2855
142	476	2854
143	479	2852
144	483	2850
145	486	2844
146	489	2840
147	493	2842
148	497	2840
149	500	2837
150	503	2833
151	507	2832
152	513	2841
153	516	2835
154	519	2832
155	523	2830
156	526	2824
157	529	2821
158	531	2811
159	534	2805
160	537	2802
161	542	2805
162	545	2799
163	548	2795
164	551	2792
165	557	2799
166	560	2795
167	563	2791
168	567	2788
169	570	2785
170	573	2779
171	576	2775
172	580	2775
173	585	2779
174	588	2773
175	591	2769
176	595	2769
177	599	2767
178	603	2767
179	606	2763
180	609	2758
181	613	2755
182	616	2752
183	619	2749
184	624	2749
185	627	2746
186	632	2751
187	636	2747
188	639	2744
189	643	2741
190	647	2744
191	651	2740
192	654	2735
193	657	2733
194	661	2730
195	665	2728
196	669	2730
197	675	2735
198	678	2731
199	682	2728
200	685	2725
201	691	2729
202	693	2721
203	697	2720
204	700	2715
205	703	2713
206	707	2711
207	710	2705
208	713	2698
209	716	2695
210	721	2697
211	724	2691
212	727	2688
213	731	2686
214	734	2682
215	737	2678
216	741	2675
217	744	2672
218	749	2674
219	753	2670
220	756	2667
221	759	2663
222	764	2662
223	767	2658
224	770	2654
225	774	2650
226	778	2652
227	782	2648
228	785	2644
229	789	2642
230	792	2638
231	795	2633
232	799	2630
233	802	2627
234	807	2629
235	811	2625
236	814	2621
237	817	2618
238	823	2620
239	826	2616
240	829	2612
241	833	2609
242	837	2608
243	840	2604
244	843	2600
245	847	2597
246	851	2594
247	853	2586
248	856	2583
249	860	2581
250	864	2579
251	868	2578
252	872	2574
253	875	2571
254	879	2570
255	883	2566
256	886	2562
257	889	2558
258	892	2554
259	897	2554
260	911	2581
261	914	2577
262	918	2572
263	920	2566
264	924	2562
265	928	2562
266	931	2558
267	935	2554
268	938	2549
269	941	2545
270	945	2542
271	949	2541
272	953	2538
273	958	2538
274	962	2536
275	965	2533
276	969	2530
277	974	2529
278	977	2526
279	981	2523
280	985	2520
281	987	2515
282	990	2510
283	1004	2532
284	1008	2529
285	1013	2530
286	1018	2529
287	1025	2535
288	1029	2532
289	1032	2527
290	1035	2522
291	1038	2517
292	1041	2514
293	1047	2515
294	1052	2514
295	1056	2512
296	1060	2510
297	1064	2506
298	1068	2504
299	1073	2505
300	1077	2503
301	1082	2501
302	1086	2500
303	1095	2508
304	1102	2512
305	1196	2713
306	1210	2732
307	1215	2731
308	1226	2743
309	1230	2739
310	1240	2747
311	1242	2739
312	1257	2760
313	1265	2763
314	1272	2767
315	1274	2759
316	1287	2773
317	1291	2769
318	1296	2767
319	1302	2768
320	1306	2763
321	1313	2766
322	1318	2762
323	1325	2765
324	1331	2765
325	1355	2802
326	1361	2802
327	1363	2794
328	1374	2803
329	1379	2800
330	1386	2801
331	1391	2799
332	1395	2796
333	1404	2800
334	1408	2795
335	1415	2796
336	1420	2793
337	1424	2790
338	1434	2797
339	1438	2792
340	1442	2787
341	1450	2791
342	1454	2785
343	1460	2784
344	1466	2783
345	1470	2779
346	1494	2812
347	1501	2812
348	1506	2810
349	1512	2809
350	1516	2803
351	1523	2803
352	1540	2824
353	1549	2827
354	1554	2823
355	1559	2820
356	1567	2824
357	1573	2821
358	1599	2855
359	1606	2856
360	1613	2855
361	1624	2862
362	1629	2859
363	1633	2855
364	1638	2850
365	1644	2849
366	1662	2867
367	1670	2869
368	1677	2868
369	1691	2880
370	1696	2875
371	1700	2871
372	1706	2869
373	1710	2862
374	1716	2860
375	1719	2853
376	1723	2847
377	1730	2846
378	1734	2842
379	1738	2836
380	1742	2831
381	1745	2823
382	1751	2821
383	1756	2817
384	1761	2813
385	1764	2806
386	1773	2809
387	1778	2805
388	1782	2800
389	1790	2799
390	1794	2795
391	1798	2788
392	1802	2783
393	1804	2775
394	1809	2772
395	1813	2766
396	1818	2761
397	1822	2756
398	1826	2750
399	1829	2744
400	1833	2738
401	1838	2734
402	1847	2736
403	1860	2744
404	1864	2739
405	1884	2757
406	1888	2751
407	1893	2747
408	1900	2745
409	1905	2741
410	1909	2736
411	1915	2733
412	1918	2727
413	1923	2723
414	1931	2723
415	1968	2762
416	1979	2767
417	1987	2767
418	1991	2762
419	2012	2778
420	2116	2910
421	2122	2906
422	2128	2902
423	2137	2903
424	2144	2901
425	2149	2896
426	2155	2892
427	2158	2884
428	2164	2881
429	2189	2902
430	2195	2898
431	2202	2896
432	2209	2893
433	2220	2895
434	2222	2887
435	2227	2880
436	2255	2905
437	2259	2899
438	2263	2892
439	2266	2884
440	2270	2877
441	2275	2873
442	2280	2867
443	2285	2862
444	2290	2856
445	2296	2852
446	2306	2853
447	2309	2845
448	2317	2843
449	2322	2838
450	2326	2831
451	2331	2826
452	2352	2840
453	2357	2835
454	2372	2841
455	2432	2901
456	2503	2975
457	2512	2972
458	2516	2965
459	2519	2957
460	2524	2951
461	2533	2950
462	2558	2967
463	2564	2962
464	2603	2995
465	2627	3011
466	2643	3017
467	2648	3011
468	2661	3013
469	2664	3005
470	2669	2997
471	2677	2995
472	2680	2987
473	2692	2987
474	2695	2979
475	2700	2972
476	2704	2965
477	2707	2957
478	2711	2949
479	2713	2940
480	2717	2931
481	2722	2926
482	2727	2919
483	2735	2916
484	2739	2909
485	2743	2901
486	2750	2897
487	2754	2889
488	2764	2888
489	2767	2880
490	2774	2876
491	2782	2873
492	2786	2865
493	2789	2857
494	2797	2853
495	2800	2845
496	2804	2838
497	2807	2830
498	2811	2822
499	2818	2818
500	2822	2811
501	2829	2806
502	2833	2799
503	2837	2792
504	2842	2786
505	2845	2777
506	2850	2772
507	2855	2765
508	2859	2757
509	2915	2801
510	2919	2793
511	2924	2787
512	2932	2783
513	2948	2787
514	2951	2779
515	2962	2779
516	2966	2771
517	2995	2787
518	3002	2782
519	3006	2774
520	3010	2767
521	3013	2759
522	3016	2751
523	3021	2744
524	3025	2737
525	3028	2729
526	3033	2722
527	3037	2715
528	3040	2707
529	3059	2712
530	3064	2706
531	3067	2698
532	3071	2691
533	3075	2683
534	3080	2677
535	3086	2671
536	3089	2663
537	3118	2678
538	3125	2672
539	3128	2665
540	3133	2658
541	3140	2654
542	3144	2646
543	3147	2638
544	3158	2636
545	3214	2672
546	3241	2684
547	3249	2680
548	3256	2675
549	3260	2667
550	3275	2669
551	3289	2669
552	3295	2663
553	3300	2656
554	3304	2649
555	3361	2684
556	3367	2678
557	3372	2671
558	3377	2664
559	3382	2657
560	3387	2650
561	3395	2646
562	3424	2658
563	3438	2657
564	3448	2655
565	3452	2647
566	3464	2646
567	3470	2639
568	3475	2632
569	3495	2637
570	3499	2629
571	3510	2626
572	3526	2627
573	3539	2626
574	3562	2633
575	3567	2626
576	3597	2637
577	3602	2630
578	3606	2622
579	3619	2621
580	3629	2617
581	3631	2608
582	3639	2603
583	3647	2598
584	3653	2591
585	3656	2583
586	3662	2576
587	3671	2572
588	3678	2566
589	3683	2559
590	3690	2553
591	3693	2545
592	3705	2543
593	3715	2539
594	3718	2531
595	3727	2526
596	3745	2528
597	3748	2519
598	3752	2512
599	3762	2508
600	3766	2500
601	3775	2496
602	3779	2488
603	3792	2486
604	3795	2478
605	3823	2486
606	3831	2480
607	3835	2472
608	3849	2471
609	3853	2463
610	3859	2457
611	3863	2449
612	3868	2442
613	3882	2440
614	3891	2436
615	3897	2429
616	3901	2421
617	3906	2414
618	3911	2407
619	3916	2400
620	3928	2397
621	3934	2390
622	3937	2382
623	3942	2375
624	3944	2366
625	3949	2359
626	3955	2353
627	3959	2345
628	3966	2339
629	3970	2332
630	3974	2324
631	3983	2319
632	3986	2311
633	3990	2303
634	3997	2297
635	4001	2290
636	4016	2288
637	4019	2280
638	4028	2275
639	4032	2268
640	4037	2260
641	4041	2253
642	4044	2245
643	4056	2242
644	4059	2234
645	4074	2232
646	4081	2226
647	4085	2219
648	4089	2211
649	4092	2203
650	4098	2197
651	4103	2190
652	4107	2182
653	4113	2176
